date;time;tempmeas;refcool;refheat;ctrlenabled;forcefan;
28/08/2013;21:29:41;73,8;73,9;63,0;2;0;
28/08/2013;21:30:41;73,7;73,9;63,0;2;0;
28/08/2013;21:31:41;73,8;73,9;63,0;2;0;
28/08/2013;21:32:41;73,8;73,9;63,0;2;0;
28/08/2013;21:33:41;73,8;73,9;63,0;2;0;
28/08/2013;21:34:41;73,8;73,9;63,0;2;0;
28/08/2013;21:35:41;73,8;73,9;63,0;2;0;
28/08/2013;21:36:41;73,8;73,9;63,0;2;0;
28/08/2013;21:37:41;73,8;73,9;63,0;2;0;
28/08/2013;21:38:41;73,8;73,9;63,0;2;0;
28/08/2013;21:39:41;73,8;73,9;63,0;2;0;
28/08/2013;21:40:41;73,9;73,9;63,0;2;0;
28/08/2013;21:41:41;73,9;73,9;63,0;2;0;
28/08/2013;21:42:41;73,9;73,9;63,0;2;0;
28/08/2013;21:43:41;73,9;73,9;63,0;2;0;
28/08/2013;21:44:41;73,9;73,9;63,0;2;0;
28/08/2013;21:45:41;73,9;73,9;63,0;2;0;
28/08/2013;21:46:41;73,9;73,9;63,0;2;0;
28/08/2013;21:47:41;74,0;73,9;63,0;2;0;
28/08/2013;21:48:41;74,0;73,9;63,0;2;0;
28/08/2013;21:49:41;74,0;73,9;63,0;2;0;
28/08/2013;21:50:41;74,0;73,9;63,0;2;0;
28/08/2013;21:51:41;74,0;73,9;63,0;2;0;
28/08/2013;21:52:41;74,0;73,9;63,0;2;0;
28/08/2013;21:53:41;74,2;73,9;63,0;2;0;
28/08/2013;21:54:41;74,3;73,9;63,0;3;0;
28/08/2013;21:55:41;74,1;73,9;63,0;3;0;
28/08/2013;21:56:41;74,1;73,9;63,0;3;0;
28/08/2013;21:57:41;74,1;73,9;63,0;3;0;
28/08/2013;21:58:41;74,0;73,9;63,0;3;0;
28/08/2013;21:59:41;74,0;73,9;63,0;3;0;
28/08/2013;22:00:41;74,0;73,9;63,0;3;0;
28/08/2013;22:01:41;74,0;73,9;63,0;3;0;
28/08/2013;22:02:41;73,9;73,9;63,0;3;0;
28/08/2013;22:03:42;73,9;73,9;63,0;3;0;
28/08/2013;22:04:41;73,8;73,9;63,0;3;0;
28/08/2013;22:05:42;73,8;73,9;63,0;3;0;
28/08/2013;22:06:41;73,8;73,9;63,0;3;0;
28/08/2013;22:07:41;73,7;73,9;63,0;3;0;
28/08/2013;22:08:41;73,7;73,9;63,0;3;0;
28/08/2013;22:09:41;73,6;73,9;63,0;2;0;
28/08/2013;22:10:41;73,5;73,9;63,0;2;0;
28/08/2013;22:11:41;73,5;73,9;63,0;2;0;
28/08/2013;22:12:41;73,5;73,9;63,0;2;0;
28/08/2013;22:13:41;73,5;73,9;63,0;2;0;
28/08/2013;22:14:41;73,4;73,9;63,0;2;0;
28/08/2013;22:15:42;73,4;73,9;63,0;2;0;
